ts;event_id;aattacks;ablocked_shots;acorners;adangerous_attacks;adangerous_free_kicks;afouls;afree_kicks;agoal;agoal_kicks;aoffsides;apenalties;ared_cards;ashots_off_target;ashots_off_woodwork;ashots_on_target;asubstitutions;athrow_ins;atotal_cards;atotal_shots;ayellow_cards;hattacks;hblocked_shots;hcorners;hdangerous_attacks;hdangerous_free_kicks;hfouls;hfree_kicks;hgoal;hgoal_kicks;hoffsides;hpenalties;hred_cards;hshots_off_target;hshots_off_woodwork;hshots_on_target;hsubstitutions;hthrow_ins;htotal_cards;htotal_shots;hyellow_cards
2021-04-08 21:56:28.000000;30366512;71;0;4;31;0;2;1;1;9;0;1;0;3;0;4;0;11;0;7;0;55;1;4;33;0;2;2;0;4;3;0;0;3;0;3;0;10;0;6;0
2021-04-08 21:56:28.000000;30366513;52;0;2;26;0;3;4;0;4;3;0;0;1;0;2;1;6;0;3;0;78;2;4;38;0;4;3;1;2;2;0;0;1;0;5;0;7;0;6;0
2021-04-08 21:56:28.000000;30412191;50;0;2;16;0;4;10;1;4;1;0;0;1;0;1;0;7;0;2;0;77;0;1;20;0;10;4;0;1;2;0;0;1;0;0;1;18;1;1;1
2021-04-08 21:56:28.000000;30366510;73;8;2;64;1;6;8;1;5;0;0;0;2;0;9;0;11;3;11;3;47;2;4;46;2;8;6;0;3;1;0;0;4;1;4;0;10;0;8;0
2021-04-08 21:56:28.000000;30366511;31;1;1;10;0;9;6;0;3;0;0;0;1;0;2;0;10;0;3;0;62;1;2;24;2;6;9;0;3;0;0;0;2;0;2;0;11;0;4;0
2021-04-08 22:00:14.000000;30410135;29;0;1;12;0;5;7;0;1;2;0;0;1;0;1;0;2;0;2;0;28;2;1;13;0;7;5;2;3;0;0;0;1;1;4;0;8;0;5;0
2021-04-08 22:01:53.000000;30366512;71;0;4;31;0;2;1;1;9;0;1;0;3;0;4;0;11;0;7;0;55;1;4;33;0;2;2;0;4;3;0;0;3;0;3;0;10;0;6;0
2021-04-08 22:01:53.000000;30366513;52;0;2;26;0;3;4;0;4;3;0;0;1;0;2;1;6;0;3;0;78;2;4;38;0;4;3;1;2;2;0;0;1;0;5;0;7;0;6;0
2021-04-08 22:01:53.000000;30412191;50;0;2;16;0;4;10;1;4;1;0;0;1;0;1;0;7;0;2;0;77;0;1;20;0;10;4;0;1;2;0;0;1;0;0;1;18;1;1;1
2021-04-08 22:01:53.000000;30366510;73;8;2;64;1;6;8;1;5;0;0;0;2;0;9;0;11;3;11;3;47;2;4;46;2;8;6;0;3;1;0;0;4;1;4;0;10;0;8;0
2021-04-08 22:01:53.000000;30366511;32;1;1;11;0;9;7;0;3;0;0;0;1;0;2;1;11;0;3;0;63;1;2;24;2;7;9;0;3;0;0;0;2;0;2;0;11;0;4;0
2021-04-08 22:05:20.000000;30410135;34;0;1;13;0;6;8;0;1;2;0;0;1;0;1;0;3;0;2;0;32;2;1;16;1;8;6;2;3;0;0;0;1;1;4;0;8;0;5;0
2021-04-08 22:07:17.000000;30366512;76;0;4;32;0;3;2;1;9;0;1;0;3;0;4;1;12;0;7;0;56;1;4;34;0;3;3;0;4;3;0;0;3;0;4;0;10;0;7;0
2021-04-08 22:07:17.000000;30366513;56;0;2;27;0;3;4;0;4;3;0;0;1;0;2;1;8;0;3;0;90;2;4;42;0;4;3;1;2;3;0;0;1;0;5;0;8;0;6;0
2021-04-08 22:07:17.000000;30412191;50;0;2;16;0;4;10;1;4;1;0;0;1;0;1;0;7;0;2;0;82;0;1;20;0;10;4;0;1;2;0;0;1;0;0;3;19;1;1;1
2021-04-08 22:07:17.000000;30366510;77;8;2;65;1;6;9;1;6;0;0;0;2;0;9;1;11;3;11;3;50;2;5;48;2;9;6;0;3;1;0;0;5;1;4;0;10;0;9;0
2021-04-08 22:07:17.000000;30366511;38;2;2;14;0;11;7;0;4;0;0;0;1;0;3;1;13;1;4;1;65;1;2;26;3;7;11;0;3;0;0;0;3;1;2;0;11;0;5;0
2021-04-08 22:10:25.000000;30410135;37;0;1;24;0;7;9;0;1;2;0;0;1;0;1;0;7;0;2;0;35;2;1;17;1;9;7;2;4;0;0;0;1;1;4;0;9;1;5;1
2021-04-08 22:12:34.000000;30366512;88;2;5;42;0;3;2;1;10;0;1;0;3;0;6;1;12;0;9;0;65;1;4;38;0;3;3;0;4;3;0;0;4;0;4;0;10;0;8;0
2021-04-08 22:12:34.000000;30366513;61;0;2;29;0;4;5;0;5;3;0;0;2;0;2;1;9;0;4;0;93;2;5;48;0;5;3;1;3;3;1;0;2;0;5;0;9;0;7;0
2021-04-08 22:12:34.000000;30412191;51;0;2;16;0;4;10;1;5;1;0;0;1;0;1;1;9;0;2;0;96;0;4;29;0;10;4;0;1;2;0;0;1;0;0;3;23;1;1;1
2021-04-08 22:12:34.000000;30366510;78;8;3;70;3;6;11;1;6;0;0;0;2;0;9;1;11;3;11;3;52;2;7;54;2;11;6;0;3;1;0;0;5;1;5;0;11;1;10;1
2021-04-08 22:12:34.000000;30366511;39;2;2;15;0;12;7;0;4;0;0;0;1;0;3;1;14;1;4;1;71;1;2;28;3;7;12;0;4;0;0;0;3;1;2;0;11;0;5;0
2021-04-08 22:15:29.000000;30410135;42;0;1;25;0;9;10;0;1;2;0;0;2;0;1;0;8;0;3;0;36;2;1;20;2;10;9;3;5;0;0;0;1;1;6;0;9;1;7;1
2021-04-08 22:17:54.000000;30366512;95;2;5;46;0;3;2;1;10;0;1;0;3;0;6;1;12;0;9;0;71;1;4;43;0;3;3;0;4;3;0;0;4;0;6;0;11;0;10;0
2021-04-08 22:17:54.000000;30366513;63;0;2;33;1;4;8;1;5;4;0;0;2;0;3;1;9;0;5;0;96;2;5;49;0;8;3;1;3;3;1;0;2;0;5;0;9;0;7;0
2021-04-08 22:17:54.000000;30412191;59;0;2;17;0;5;11;1;8;1;0;0;2;0;1;1;10;0;3;0;101;0;4;33;0;11;5;0;2;2;0;0;2;0;0;3;25;1;2;1
2021-04-08 22:17:54.000000;30366510;88;8;3;75;3;6;11;1;7;0;0;0;3;0;9;1;12;3;12;3;63;2;7;56;2;11;6;0;4;2;0;0;5;1;5;1;12;1;10;1
2021-04-08 22:17:54.000000;30366511;53;2;2;22;0;13;8;0;4;0;0;0;1;0;4;1;16;1;5;1;74;1;2;32;3;8;13;0;4;0;0;0;4;2;2;0;12;0;6;0
2021-04-08 22:20:32.000000;30410135;43;0;1;25;0;9;11;0;1;2;0;0;2;0;1;0;8;0;3;0;38;2;1;22;2;11;9;3;5;0;0;0;1;1;6;0;9;1;7;1
2021-04-08 22:23:13.000000;30366512;101;3;5;53;0;3;3;1;10;0;1;0;3;0;7;1;14;0;10;0;78;1;4;44;0;4;3;0;4;3;0;0;4;0;6;2;14;0;10;0
2021-04-08 22:23:13.000000;30366513;67;0;3;37;1;4;9;1;5;4;0;0;2;0;3;1;9;0;5;0;104;2;5;51;0;9;3;1;4;3;1;0;2;0;5;1;9;0;7;0
2021-04-08 22:23:13.000000;30412191;63;0;2;18;0;5;13;1;8;1;0;0;2;0;1;1;10;1;3;1;105;0;4;35;0;13;5;0;2;2;0;0;2;0;0;3;26;2;2;2
2021-04-08 22:23:13.000000;30366510;96;8;5;85;3;6;11;1;8;0;0;0;4;0;9;1;12;3;13;3;68;2;8;59;2;11;6;0;5;2;0;0;5;1;5;1;13;1;10;1
2021-04-08 22:23:13.000000;30366511;60;2;2;22;0;14;8;0;5;0;0;0;1;0;4;1;18;1;5;1;83;1;2;38;3;8;14;0;5;0;0;0;5;2;2;0;13;0;7;0
